j,n,m,coef
0.0,0.0,0.0,2.09401510422283
4.0,2.0,0.0,-0.7208495761237129
144.0,16.0,0.0,0.9373080796947357
145.0,16.0,2.0,-0.7166088924163486
180.0,18.0,0.0,2.0715696191944515
181.0,18.0,2.0,-1.6811008279200705
182.0,18.0,4.0,1.3166186276045893
220.0,20.0,0.0,4.46717833821768
221.0,20.0,2.0,-3.7688984931979514
222.0,20.0,4.0,2.963352303054523
264.0,22.0,0.0,9.18537368778715
265.0,22.0,2.0,-7.8901364122911914
266.0,22.0,4.0,6.220699368963962
288.0,23.0,1.0,-0.6820645793150845
312.0,24.0,0.0,17.609787845062762
313.0,24.0,2.0,-14.95982667414147
314.0,24.0,4.0,11.846111628122054
315.0,24.0,6.0,-0.8919910608365648
316.0,24.0,8.0,-1.4052868171917545
317.0,24.0,10.0,1.2145094283958997
318.0,24.0,12.0,-0.9545564253718559
338.0,25.0,1.0,-1.2685237431597811
339.0,25.0,3.0,0.9683783165104864
340.0,25.0,5.0,-0.8787241981591446
364.0,26.0,0.0,30.61913979345068
365.0,26.0,2.0,-24.610277640663
366.0,26.0,4.0,19.68141582585029
367.0,26.0,6.0,-1.0054756765081656
368.0,26.0,8.0,-3.7072526784826936
369.0,26.0,10.0,2.9634375241027144
370.0,26.0,12.0,-2.2892903735231895
371.0,26.0,14.0,0.9336735482649746
392.0,27.0,1.0,-2.172408796346601
393.0,27.0,3.0,1.6665034342674891
394.0,27.0,5.0,-1.3604233953665732
420.0,28.0,0.0,46.642490434114194
421.0,28.0,2.0,-32.617013417926785
422.0,28.0,4.0,26.74739633120947
424.0,28.0,8.0,-8.552325573710855
425.0,28.0,10.0,6.077624105063627
426.0,28.0,12.0,-4.41218482986267
427.0,28.0,14.0,1.3881480978310257
428.0,28.0,16.0,0.6644833378492089
429.0,28.0,18.0,-1.1032121693209511
450.0,29.0,1.0,-3.333679302765897
451.0,29.0,3.0,2.453224202423694
452.0,29.0,5.0,-1.598305850248118
453.0,29.0,7.0,0.8347690752918471
480.0,30.0,0.0,59.34932941281219
481.0,30.0,2.0,-29.026643502247698
482.0,30.0,4.0,25.794020606497227
483.0,30.0,6.0,2.789079359648188
484.0,30.0,8.0,-16.300020792788413
485.0,30.0,10.0,9.656149113025219
486.0,30.0,12.0,-5.912518266914051
488.0,30.0,16.0,3.177799974492159
489.0,30.0,18.0,-3.234733596870279
490.0,30.0,20.0,1.0065345741767282
512.0,31.0,1.0,-4.427467078078458
513.0,31.0,3.0,2.9039847619818744
514.0,31.0,5.0,-0.8912053113096209
515.0,31.0,7.0,0.7229587969904886
544.0,32.0,0.0,58.86436947050804
545.0,32.0,2.0,-3.4200676033054336
546.0,32.0,4.0,8.742256560055138
547.0,32.0,6.0,3.572761001439064
548.0,32.0,8.0,-23.65419874518512
549.0,32.0,10.0,9.67082054210367
550.0,32.0,12.0,-2.249729849145813
551.0,32.0,14.0,-5.663014319603678
552.0,32.0,16.0,9.591367317342943
553.0,32.0,18.0,-7.500696866900274
554.0,32.0,20.0,2.061630076629916
578.0,33.0,1.0,-4.861340833856788
579.0,33.0,3.0,2.4945819964430984
580.0,33.0,5.0,1.509586844690832
612.0,34.0,0.0,41.33095943103426
613.0,34.0,2.0,36.96199445907856
614.0,34.0,4.0,-21.736425006631034
615.0,34.0,6.0,-9.110033331031993
616.0,34.0,8.0,-22.313260142801056
618.0,34.0,12.0,12.671408647059256
619.0,34.0,14.0,-19.24455212630149
620.0,34.0,16.0,19.86394018683914
621.0,34.0,18.0,-12.724839157991882
622.0,34.0,20.0,2.649343475134617
623.0,34.0,22.0,1.3946349914574119
624.0,34.0,24.0,0.9549092963122985
648.0,35.0,1.0,-4.163351959304176
649.0,35.0,3.0,1.3441852467254303
650.0,35.0,5.0,5.324360205740798
653.0,35.0,11.0,0.8094848952656176
654.0,35.0,13.0,-0.8501062650744072
655.0,35.0,15.0,0.9857307837101841
657.0,35.0,19.0,-1.0993443709520008
684.0,36.0,0.0,21.10764016762246
685.0,36.0,2.0,52.68887817659573
686.0,36.0,4.0,-44.81284857915161
687.0,36.0,6.0,-45.7856720042133
688.0,36.0,8.0,-8.551204132601745
689.0,36.0,10.0,-13.627792748975045
690.0,36.0,12.0,36.165967338903314
691.0,36.0,14.0,-34.07362275196594
692.0,36.0,16.0,25.628184669658733
693.0,36.0,18.0,-13.047660107122118
694.0,36.0,20.0,0.8738523554475921
695.0,36.0,22.0,3.827068572030029
696.0,36.0,24.0,2.7812694160805957
698.0,36.0,28.0,-0.6631054771948087
699.0,36.0,30.0,0.779076134912312
722.0,37.0,1.0,-2.659510873322516
723.0,37.0,3.0,0.8733092027907461
724.0,37.0,5.0,8.300865821467886
725.0,37.0,7.0,0.7817533642313467
726.0,37.0,9.0,-2.4120477977822468
727.0,37.0,11.0,0.9766855268618864
728.0,37.0,13.0,-0.9497392044021182
729.0,37.0,15.0,1.45646813561261
731.0,37.0,19.0,-1.7051853319876984
733.0,37.0,23.0,0.7240472903973154
760.0,38.0,0.0,20.588632844781475
761.0,38.0,2.0,7.406813447327325
762.0,38.0,4.0,-45.50635993169863
763.0,38.0,6.0,-85.81064946919939
764.0,38.0,8.0,-1.5306530483585383
765.0,38.0,10.0,-5.559870108784419
766.0,38.0,12.0,46.96711938454672
767.0,38.0,14.0,-31.37102977435495
768.0,38.0,16.0,11.206772229705388
769.0,38.0,18.0,-2.6831853675709367
770.0,38.0,20.0,-1.575675031874145
771.0,38.0,22.0,6.444372304996793
772.0,38.0,24.0,6.018230981520204
773.0,38.0,26.0,2.985578711751912
774.0,38.0,28.0,-3.789874020435058
775.0,38.0,30.0,2.6461618366562294
800.0,39.0,1.0,-1.4983616255316328
801.0,39.0,3.0,2.4337779106863033
802.0,39.0,5.0,7.862417938318789
803.0,39.0,7.0,2.8376066030301907
804.0,39.0,9.0,-4.619994240758308
807.0,39.0,15.0,2.187142922667478
809.0,39.0,19.0,-2.1258145540050504
810.0,39.0,21.0,-1.5212248595026598
811.0,39.0,23.0,1.3738777288426993
840.0,40.0,0.0,33.01371060301281
841.0,40.0,2.0,-56.01288173872211
842.0,40.0,4.0,-47.38832975125896
843.0,40.0,6.0,-76.18726743551137
844.0,40.0,8.0,-23.212927929611073
845.0,40.0,10.0,41.61143130842883
846.0,40.0,12.0,31.72840954919369
847.0,40.0,14.0,-9.050384007859206
848.0,40.0,16.0,-20.097623047268822
849.0,40.0,18.0,5.136927084392931
850.0,40.0,20.0,8.897237557183107
851.0,40.0,22.0,4.989370348501089
852.0,40.0,24.0,8.889380875252783
853.0,40.0,26.0,12.05886644340138
854.0,40.0,28.0,-10.625794188115622
855.0,40.0,30.0,4.41663464378905
857.0,40.0,34.0,-1.073788102781453
882.0,41.0,1.0,-1.2869523968462475
883.0,41.0,3.0,4.141218904198644
884.0,41.0,5.0,5.0751994023537454
885.0,41.0,7.0,3.083567154701847
886.0,41.0,9.0,-4.940531471950554
887.0,41.0,11.0,-2.726573546481026
888.0,41.0,13.0,0.7728508029755766
889.0,41.0,15.0,3.6553142242592234
890.0,41.0,17.0,-1.1876635507115927
891.0,41.0,19.0,-2.614092127558674
892.0,41.0,21.0,-2.220467896294335
893.0,41.0,23.0,1.8216183924823997
894.0,41.0,25.0,1.9759178709464862
895.0,41.0,27.0,-0.9646309293213361
924.0,42.0,0.0,28.577607110875295
925.0,42.0,2.0,-51.94201849108255
926.0,42.0,4.0,-57.563407627028056
927.0,42.0,6.0,-26.143340680091395
928.0,42.0,8.0,-25.096686990718247
929.0,42.0,10.0,68.17027879552963
930.0,42.0,12.0,26.717111519520948
931.0,42.0,14.0,-9.849883904014334
932.0,42.0,16.0,-30.984029860144794
933.0,42.0,18.0,-17.14221027289729
934.0,42.0,20.0,42.7482704485273
935.0,42.0,22.0,2.2847485049103518
936.0,42.0,24.0,5.62235601616804
937.0,42.0,26.0,23.507844939677856
938.0,42.0,28.0,-13.821562607533908
939.0,42.0,30.0,-2.9533053115211834
940.0,42.0,32.0,5.931514116019016
941.0,42.0,34.0,-4.801459619331834
942.0,42.0,36.0,0.6475455287728056
968.0,43.0,1.0,-1.2344317991699751
969.0,43.0,3.0,2.450153515450418
970.0,43.0,5.0,3.506518671348676
972.0,43.0,9.0,-3.6156501389418714
973.0,43.0,11.0,-3.2484263402729128
975.0,43.0,15.0,5.315596227027789
976.0,43.0,17.0,-1.19522252641054
977.0,43.0,19.0,-3.910053926982546
978.0,43.0,21.0,-1.9376042921699022
979.0,43.0,23.0,2.129191099641772
980.0,43.0,25.0,3.777202866076064
981.0,43.0,27.0,-0.9993359086553112
983.0,43.0,31.0,0.7917239002111286
1012.0,44.0,0.0,18.07584001575012
1013.0,44.0,2.0,-5.773491011539245
1014.0,44.0,4.0,-17.769516775233956
1015.0,44.0,6.0,-20.900060941365908
1016.0,44.0,8.0,38.95233209015202
1017.0,44.0,10.0,32.41743377355454
1018.0,44.0,12.0,28.98836358581273
1019.0,44.0,14.0,-28.22071276074207
1020.0,44.0,16.0,-30.202641863217867
1021.0,44.0,18.0,-36.16909969688839
1022.0,44.0,20.0,58.53837800798731
1023.0,44.0,22.0,23.030879132875373
1024.0,44.0,24.0,-9.474808833867591
1025.0,44.0,26.0,19.625767101522158
1026.0,44.0,28.0,0.9526632136192938
1027.0,44.0,30.0,-27.853334408196886
1028.0,44.0,32.0,15.48045846483822
1029.0,44.0,34.0,-8.677240376288756
1030.0,44.0,36.0,-0.6495385885315119
1058.0,45.0,1.0,-0.8142601318834249
1060.0,45.0,5.0,2.3820761385663394
1062.0,45.0,9.0,-3.14683831421405
1065.0,45.0,15.0,4.265010778520101
1067.0,45.0,19.0,-4.750335227090573
1068.0,45.0,21.0,-2.0890086353550625
1069.0,45.0,23.0,3.5673652119167425
1070.0,45.0,25.0,4.531288605360996
1072.0,45.0,29.0,-0.960755464918235
1074.0,45.0,33.0,0.875688149895623
1075.0,45.0,35.0,-1.1581715954173004
1104.0,46.0,0.0,13.4196847647343
1105.0,46.0,2.0,22.110583482646433
1106.0,46.0,4.0,19.748684562998204
1107.0,46.0,6.0,-10.908156241705402
1108.0,46.0,8.0,30.34857201002389
1109.0,46.0,10.0,48.6626180462448
1110.0,46.0,12.0,-44.839195432481745
1111.0,46.0,14.0,10.263120970108858
1112.0,46.0,16.0,-59.510201018242064
1113.0,46.0,18.0,4.1152801793990825
1114.0,46.0,20.0,23.366202380114043
1115.0,46.0,22.0,61.5120458859951
1116.0,46.0,24.0,-22.72845622630799
1117.0,46.0,26.0,-5.231211151280458
1118.0,46.0,28.0,12.767429278952728
1119.0,46.0,30.0,-37.35683178038504
1121.0,46.0,34.0,2.914681669824146
1122.0,46.0,36.0,-9.1047657825254
1123.0,46.0,38.0,2.5941956748309973
1154.0,47.0,5.0,0.8080201951315874
1155.0,47.0,7.0,0.6659287264382597
1158.0,47.0,13.0,3.1198302049712394
1160.0,47.0,17.0,0.6988692468200653
1161.0,47.0,19.0,-2.3666962716630695
1162.0,47.0,21.0,-3.3417283089463474
1163.0,47.0,23.0,4.698515281638937
1164.0,47.0,25.0,4.5138061344922225
1166.0,47.0,29.0,-1.7792821272011996
1169.0,47.0,35.0,-0.7451865322202956
1170.0,47.0,37.0,-0.7790208979107042
1200.0,48.0,0.0,7.285346825794302
1202.0,48.0,4.0,9.80433963975909
1203.0,48.0,6.0,-5.206456450426396
1205.0,48.0,10.0,16.444739384312495
1206.0,48.0,12.0,-11.387862253757966
1207.0,48.0,14.0,-34.07101927674008
1208.0,48.0,16.0,19.022634117414487
1209.0,48.0,18.0,-10.438054298424888
1210.0,48.0,20.0,44.58946452208495
1211.0,48.0,22.0,30.89951538617046
1212.0,48.0,24.0,-1.0474591555015322
1213.0,48.0,26.0,-24.802604497952764
1214.0,48.0,28.0,-17.101215760402138
1216.0,48.0,32.0,-39.028016695921906
1217.0,48.0,34.0,17.274537684378966
1218.0,48.0,36.0,-10.209999693885338
1219.0,48.0,38.0,-1.939346005595221
1220.0,48.0,40.0,3.004917519236957
1221.0,48.0,42.0,-1.21351758652496
1250.0,49.0,1.0,0.8210919518584535
1251.0,49.0,3.0,1.0213811224982958
1252.0,49.0,5.0,0.7866859311080161
1253.0,49.0,7.0,0.668391726756635
1254.0,49.0,9.0,1.160923059779259
1256.0,49.0,13.0,1.525115852930853
1258.0,49.0,17.0,-1.6712360512476436
1259.0,49.0,19.0,-0.7659522054986532
1261.0,49.0,23.0,1.2024032027875744
1262.0,49.0,25.0,4.829620483998213
1264.0,49.0,29.0,-3.3261939908385783
1266.0,49.0,33.0,-1.7491530266545618
1267.0,49.0,35.0,0.9326011152811658
1268.0,49.0,37.0,-2.2328698478164943
1269.0,49.0,39.0,1.234445017155973
1300.0,50.0,0.0,-6.730824815321301
1301.0,50.0,2.0,-27.407438395843887
1302.0,50.0,4.0,-10.631363199737619
1303.0,50.0,6.0,-20.165172025451653
1304.0,50.0,8.0,5.509501571804903
1305.0,50.0,10.0,-7.499982081352567
1306.0,50.0,12.0,13.44805090911986
1307.0,50.0,14.0,13.885978346350663
1308.0,50.0,16.0,4.2439117875718475
1309.0,50.0,18.0,46.594187015059056
1310.0,50.0,20.0,19.91228312195114
1311.0,50.0,22.0,10.130119924653004
1312.0,50.0,24.0,15.441510671018522
1313.0,50.0,26.0,-40.469258598787526
1314.0,50.0,28.0,-1.8075234642354947
1315.0,50.0,30.0,-28.649082533540685
1316.0,50.0,32.0,7.674927651116307
1317.0,50.0,34.0,-28.890955964191843
1318.0,50.0,36.0,21.04400467773045
1319.0,50.0,38.0,-14.637148840685445
1320.0,50.0,40.0,4.4583825251559555
1322.0,50.0,44.0,-1.257010157364358
1354.0,51.0,5.0,-0.9137138280815922
1355.0,51.0,7.0,1.2164303014255626
1356.0,51.0,9.0,-1.9471241339867764
1359.0,51.0,15.0,-2.3388953669846613
1361.0,51.0,19.0,-1.5187586761390288
1362.0,51.0,21.0,0.7251993239074465
1363.0,51.0,23.0,1.3121464544523018
1364.0,51.0,25.0,0.7685311237214022
1366.0,51.0,29.0,-1.5567063977389646
1367.0,51.0,31.0,-2.5530297273357707
1368.0,51.0,33.0,1.3194087605450875
1369.0,51.0,35.0,-1.7510091000843169
1404.0,52.0,0.0,-2.115212814177716
1405.0,52.0,2.0,-27.253914687599757
1406.0,52.0,4.0,-4.397124376081218
1407.0,52.0,6.0,-10.339814291718364
1408.0,52.0,8.0,3.359743570491669
1409.0,52.0,10.0,5.637062434414805
1410.0,52.0,12.0,16.095540050310973
1411.0,52.0,14.0,12.50383659063453
1412.0,52.0,16.0,26.82470705880243
1413.0,52.0,18.0,8.663509229912933
1414.0,52.0,20.0,21.849480183190828
1415.0,52.0,22.0,5.537405894159139
1416.0,52.0,24.0,-9.297930557581203
1417.0,52.0,26.0,0.9749887397770404
1418.0,52.0,28.0,-14.329936165118731
1419.0,52.0,30.0,-4.1255700945398655
1420.0,52.0,32.0,-10.468405318589484
1421.0,52.0,34.0,14.298680340358692
1422.0,52.0,36.0,-28.963418247470276
1423.0,52.0,38.0,32.216312962689216
1424.0,52.0,40.0,-27.640910122271084
1425.0,52.0,42.0,17.55966189197202
1426.0,52.0,44.0,-8.369233434484483
1427.0,52.0,46.0,2.871176951614604
1428.0,52.0,48.0,-0.6989056193956664
1458.0,53.0,1.0,-0.653625289376564
1459.0,53.0,3.0,-1.3837177183074547
1461.0,53.0,7.0,-1.4006374714950045
1463.0,53.0,11.0,-2.4541950761997517
1464.0,53.0,13.0,0.6580874665208121
1465.0,53.0,15.0,-1.1939894671507507
1466.0,53.0,17.0,-0.7555388654868667
1467.0,53.0,19.0,0.7567073695289687
1470.0,53.0,25.0,1.4192569144657672
1471.0,53.0,27.0,-1.3680148789935973
1473.0,53.0,31.0,-0.717403471808461
1474.0,53.0,33.0,-0.899109002203671
1475.0,53.0,35.0,0.9812268416953907
1476.0,53.0,37.0,-1.289797210164182
1477.0,53.0,39.0,0.7008650966360512
